 -17.5789 -14.3983 -13.861 -13.5936 -13.4493 -13.3744 -13.3844 -13.38 -13.3816 -13.4995 -13.3699 -13.1593 -13.0791 -13.0406 -13.0446 -13.0918 -13.1958 -13.3818 -13.7498 -15.2595
 -14.3983 -13.3867 -12.454 -11.8596 -11.5266 -11.3073 -11.1667 -11.0488 -10.9774 -10.8913 -10.6763 -10.5494 -10.4259 -10.3108 -10.2497 -10.2598 -10.3842 -10.8486 -11.6399 inf
 -13.861 -12.454 -12.4932 -11.6085 -11.0993 -10.755 -10.509 -10.3472 -10.2954 -10.0452 -9.85119 -9.73808 -9.67859 -9.64821 -9.69659 -9.86454 -10.3805 -11.1945 inf inf
 -13.5936 -11.8596 -11.6085 -10.8213 -10.413 -10.1979 -10.028 -9.98479 -9.93266 -9.62589 -9.48903 -9.38991 -9.41418 -9.42408 -9.60535 -10.1287 -10.9639 inf inf inf
 -13.4493 -11.5266 -11.0993 -10.413 -10.1335 -10.0015 -9.89152 -9.92676 -9.62 -9.41361 -9.31659 -9.26008 -9.29413 -9.44715 -10.0012 -10.8319 inf inf inf inf
 -13.3744 -11.3073 -10.755 -10.1979 -10.0015 -9.99159 -9.94011 -9.85214 -9.46211 -9.29404 -9.22503 -9.23611 -9.36177 -9.91798 -10.7633 inf inf inf inf inf
 -13.3844 -11.1667 -10.509 -10.028 -9.89152 -9.94011 -10.3254 -9.78981 -9.41995 -9.28061 -9.25196 -9.38429 -9.90179 -10.7641 inf inf inf inf inf inf
 -13.38 -11.0488 -10.3472 -9.98479 -9.92676 -9.85214 -9.78981 -9.87148 -9.50629 -9.37941 -9.43827 -9.94851 -10.8083 inf inf inf inf inf inf inf
 -13.3816 -10.9774 -10.2954 -9.93266 -9.62 -9.46211 -9.41995 -9.50629 -9.75962 -9.64575 -10.056 -10.8995 inf inf inf inf inf inf inf inf
 -13.4995 -10.8913 -10.0452 -9.62589 -9.41361 -9.29404 -9.28061 -9.37941 -9.64575 -10.4309 -11.1872 inf inf inf inf inf inf inf inf inf
 -13.3699 -10.6763 -9.85119 -9.48903 -9.31659 -9.22503 -9.25196 -9.43827 -10.056 -11.1872 inf inf inf inf inf inf inf inf inf inf
 -13.1593 -10.5494 -9.73808 -9.38991 -9.26008 -9.23611 -9.38429 -9.94851 -10.8995 inf inf inf inf inf inf inf inf inf inf inf
 -13.0791 -10.4259 -9.67859 -9.41418 -9.29413 -9.36177 -9.90179 -10.8083 inf inf inf inf inf inf inf inf inf inf inf inf
 -13.0406 -10.3108 -9.64821 -9.42408 -9.44715 -9.91798 -10.7641 inf inf inf inf inf inf inf inf inf inf inf inf inf
 -13.0446 -10.2497 -9.69659 -9.60535 -10.0012 -10.7633 inf inf inf inf inf inf inf inf inf inf inf inf inf inf
 -13.0918 -10.2598 -9.86454 -10.1287 -10.8319 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf
 -13.1958 -10.3842 -10.3805 -10.9639 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf
 -13.3818 -10.8486 -11.1945 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf
 -13.7498 -11.6399 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf
 -15.2595 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf
